nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
8195,04,033,0,16387,00,032,0
8198,04,050,0,16387,00,002,0
8198,04,049,0,16387,00,001,0
8198,04,051,0,16387,00,003,0
8198,04,048,0,16387,00,000,0
8198,04,054,0,16387,00,011,0
8198,04,053,0,16387,00,008,0
8198,04,055,0,16387,00,010,0
8198,04,052,0,16387,00,009,0
8198,04,058,0,16387,00,006,0
8198,04,057,0,16387,00,005,0
8198,04,059,0,16387,00,007,0
8198,04,056,0,16387,00,004,0
8198,04,062,0,16387,00,015,0
8198,04,061,0,16387,00,012,0
8198,04,063,0,16387,00,014,0
8198,04,060,0,16387,00,013,0
8198,04,047,0,16387,00,031,0
8198,04,044,0,16387,00,028,0
8198,04,046,0,16387,00,030,0
8198,04,045,0,16387,00,029,0
8198,04,043,0,16387,00,022,0
8198,04,040,0,16387,00,021,0
8198,04,042,0,16387,00,023,0
8198,04,041,0,16387,00,020,0
8198,04,039,0,16387,00,027,0
8198,04,036,0,16387,00,024,0
8198,04,038,0,16387,00,026,0
8198,04,037,0,16387,00,025,0
8198,04,035,0,16387,00,018,0
8198,04,032,0,16387,00,017,0
8198,04,034,0,16387,00,019,0
8198,04,033,0,16387,00,016,0
8195,05,050,0,16387,01,050,0
8195,05,049,0,16387,01,049,0
8195,05,051,0,16387,01,051,0
8195,05,048,0,16387,01,048,0
8195,05,054,0,16387,01,059,0
8195,05,053,0,16387,01,056,0
8195,05,055,0,16387,01,058,0
8195,05,052,0,16387,01,057,0
8195,05,058,0,16387,01,054,0
8195,05,057,0,16387,01,053,0
8195,05,059,0,16387,01,055,0
8195,05,056,0,16387,01,052,0
8195,05,062,0,16387,01,063,0
8195,05,061,0,16387,01,060,0
8195,05,063,0,16387,01,062,0
8195,05,060,0,16387,01,061,0
8195,05,047,0,16387,01,047,0
8195,05,044,0,16387,01,044,0
8195,05,046,0,16387,01,046,0
8195,05,045,0,16387,01,045,0
8195,05,043,0,16387,01,038,0
8195,05,040,0,16387,01,037,0
8195,05,042,0,16387,01,039,0
8195,05,041,0,16387,01,036,0
8195,05,039,0,16387,01,043,0
8195,05,036,0,16387,01,040,0
8195,05,038,0,16387,01,042,0
8195,05,037,0,16387,01,041,0
8195,05,035,0,16387,01,034,0
8195,05,032,0,16387,01,033,0
8195,05,034,0,16387,01,035,0
8195,05,033,0,16387,01,032,0
8198,05,050,0,16387,01,002,0
8198,05,049,0,16387,01,001,0
8198,05,051,0,16387,01,003,0
8198,05,048,0,16387,01,000,0
8198,05,054,0,16387,01,011,0
8198,05,053,0,16387,01,008,0
8198,05,055,0,16387,01,010,0
8198,05,052,0,16387,01,009,0
8198,05,058,0,16387,01,006,0
8198,05,057,0,16387,01,005,0
8198,05,059,0,16387,01,007,0
8198,05,056,0,16387,01,004,0
8198,05,062,0,16387,01,015,0
8198,05,061,0,16387,01,012,0
8198,05,063,0,16387,01,014,0
8198,05,060,0,16387,01,013,0
8198,05,047,0,16387,01,031,0
8198,05,044,0,16387,01,028,0
8198,05,046,0,16387,01,030,0
8198,05,045,0,16387,01,029,0
8198,05,043,0,16387,01,022,0
8198,05,040,0,16387,01,021,0
8198,05,042,0,16387,01,023,0
8198,05,041,0,16387,01,020,0
8198,05,039,0,16387,01,027,0
8198,05,036,0,16387,01,024,0
8198,05,038,0,16387,01,026,0
8198,05,037,0,16387,01,025,0
8198,05,035,0,16387,01,018,0
8198,05,032,0,16387,01,017,0
8198,05,034,0,16387,01,019,0
8198,05,033,0,16387,01,016,0
